id,Status,Collection,Item Type,Total Checkouts,Total Renewals,Call Number,BibIds
1001540,AVAILABLE,Adult Collection,Books,81,28,917.56 Chap,1001512
1001541,AVAILABLE,Adult Collection,Books,152,40,917.56 Cha,1001512
1001554,AVAILABLE,Adult Collection,Books,114,32,917.56 Cor,1001524
1004823,AVAILABLE,Kids Room,Books,92,51,J 970.4 Wetm,1004723
1012321,AVAILABLE,Adult Collection,Books,142,45,970.1 Rig,1011754
1012405,AVAILABLE,Kids Room,Books,72,17,J 398.2 DeP,1011831
1014389,AVAILABLE,Kids Room,Books,70,15,JM B,1013586
1023403,AVAILABLE,Kids Room,Books,104,47,JB Fritz,1021597
1024295,AVAILABLE,Adult Collection,Adult Fiction,116,47,FIC Alc,1009795
1026899,AVAILABLE,Adult Collection,Adult Fiction,187,32,MYS Alli,1024989
1045130,AVAILABLE,Adult Collection,Books,88,34,575.01 Goul,1042549
1047877,AVAILABLE,Adult Collection,Books,37,13,814.008 Bes,1045212
1052404,AVAILABLE,Kids Room,Books,333,86,PIC Yol,1049376
1052719,AVAILABLE,Kids Room,Books,170,42,PIC Zol,1049670
1057031,AVAILABLE,Adult Collection,Books,67,18,917.56 Sch,1053884
1062362,AVAILABLE,Adult Collection,Books,29,10,398 Fox,1059215
1069267,AVAILABLE,Kids Room,Books,139,36,JF Will,1050089
1069916,AVAILABLE,Kids Room,Easter,81,14,BBK Hil,1050199
1071269,AVAILABLE,Kids Room,Christmas items,36,5,J 783.6 Chr,1003980
1071271,AVAILABLE,Kids Room,Christmas items,81,20,J 783 Sim,1037184
1071274,AVAILABLE,Kids Room,Books,46,9,J 745.6 Fis,1009600
1071585,AVAILABLE,Kids Room,Books,109,40,J 975.6 Youn,1005428
1071733,AVAILABLE,Kids Room,Books,56,18,J 398.4 Sin,1032935
1072367,AVAILABLE,Kids Room,Books,114,34,J 811.008 Oxf,1006047
1074332,AVAILABLE,Kids Room,Books,103,28,J 398.2 Whe,1038077
1074430,AVAILABLE,Kids Room,Books,161,34,PIC Vin,1064063
1074744,AVAILABLE,Kids Room,Books,152,70,JF Voi,1047758
1076149,AVAILABLE,Kids Room,Halloween,53,10,PIC Ner,1064173
1076154,AVAILABLE,Kids Room,Easter,61,8,J 394.2 G,1063451
1077369,AVAILABLE,Adult Collection,Books,28,6,808.51|bVan,1005017
1077397,AVAILABLE,Adult Collection,Books,41,13,031.02|bHow,1044416
1079110,WITHDRAWN,Adult Collection,Books,45,10,513.5|bIfr,1041613
1081941,AVAILABLE,Kids Room,Books,150,35,J 398.2 G,1068556
1087940,AVAILABLE,Kids Room,Books,168,61,JF Voi,1047754
1088518,AVAILABLE,Adult Collection,Books,163,56,SF Le,1018261
1088520,AVAILABLE,Adult Collection,Books,142,33,SF Le,1018268
1093256,AVAILABLE,Kids Room,Christmas items,214,41,JF American,1075822
1099683,AVAILABLE,Adult Collection,Books,92,36,720.9756 Car,1043332
1105684,AVAILABLE,Kids Room,Books,131,65,J 372.6 Hey,1084609
1114438,AVAILABLE,Kids Room,Books,41,8,J 398.2 H,1091380
1116509,AVAILABLE,Adult Collection,Books,32,4,796.48 Con,1096523
1116604,STORYTIME USE,Kids Room,not in use,30,0,CS JCASS,1083825
1118515,AVAILABLE,Kids Room,Thanksgiving,54,4,J 394.2 Gib,1050005
1118536,AVAILABLE,Kids Room,Thanksgiving,31,5,J 394.2 Bar,1050765
1119164,AVAILABLE,Kids Room,Books,162,64,J 912 Har,1096959
1121258,AVAILABLE,Adult Collection,Books,49,8,398.9 Fle,1100026
1121575,AVAILABLE,Adult Collection,Books,82,17,781.6603 Har,1099267
1122260,AVAILABLE,Teen Room,Y Fiction,99,37,YF Ste,1028692
1122723,AVAILABLE,Kids Room,Books,205,54,PIC W,1087247
1123511,AVAILABLE,Kids Room,Books,80,15,J 398.2 D,1011842
1123545,AVAILABLE,Adult Collection,Books,97,41,693 Wil,1043137
1123767,AVAILABLE,Adult Collection,Books,72,15,736 Mur,1000328
1124613,AVAILABLE,Kids Room,Books,286,63,PIC Z,1049607
1126764,AVAILABLE,Kids Room,Books,327,85,PIC Hoban,1050298
1128525,AVAILABLE,Kids Room,Books,215,31,PIC Kel,1051817
1128963,AVAILABLE,Kids Room,Books,201,40,PIC Pil,1086570
1129022,AVAILABLE,Kids Room,Books,143,26,PIC Mar,1083363
1129108,AVAILABLE,Kids Room,Books,101,22,PIC Day,1084483
